FlightDate,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,Carrier,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,Origin,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,Dest,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DepTime,DepDelay,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ArrTime,ArrDelay,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,Cancelled,CANCELLATION_CODE,Diverted,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,Distance,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,Origin_lat,Origin_long,Dest_lat,Dest_long,Dest_Airport_name
1/1/2025,AA,19805,AA,N775XF,1466,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1712,1709,-3,0,0,-1,1700-1759,14,1723,1931,3,1945,1934,-11,0,0,-1,1900-1959,0,,0,153,145,128,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N802NN,1448,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1839,1905,26,26,1,1,1800-1859,20,1925,2132,6,2113,2138,25,25,1,1,2100-2159,0,,0,154,153,127,1,728,3,25,0,0,0,0,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N823AW,570,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,0900,0855,-5,0,0,-1,0900-0959,13,0908,1020,8,1048,1028,-20,0,0,-2,1000-1059,0,,0,108,93,72,1,399,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,38.8512,-77.0402,Ronald Reagan Washington National
1/1/2025,AA,19805,AA,N825NN,1442,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1413,1412,-1,0,0,-1,1400-1459,19,1431,1739,27,1753,1806,13,13,0,0,1700-1759,0,,0,280,294,248,1,1562,7,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.8998,-97.0403,Dallas/Fort Worth Intl
1/1/2025,AA,19805,AA,N831NN,1114,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1045,1040,-5,0,0,-1,1000-1059,13,1053,1154,3,1221,1157,-24,0,0,-2,1200-1259,0,,0,96,77,61,1,280,2,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,39.8744,-75.2424,Philadelphia Intl
1/1/2025,AA,19805,AA,N853NN,1259,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0708,0658,-10,0,0,-1,0700-0759,9,0707,1020,25,1111,1045,-26,0,0,-2,1100-1159,0,,0,243,227,193,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N920US,3111,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0909,0921,12,12,0,0,0900-0959,10,0931,1134,5,1145,1139,-6,0,0,-1,1100-1159,0,,0,156,138,123,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N943NN,3040,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1153,1146,-7,0,0,-1,1100-1159,12,1158,1405,4,1427,1409,-18,0,0,-2,1400-1459,0,,0,154,143,127,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N943NN,624,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0515,0508,-7,0,0,-1,0001-0559,10,0518,0718,3,0749,0721,-28,0,0,-2,0700-0759,0,,0,154,133,120,1,728,3,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,35.214,-80.9431,Charlotte Douglas Intl
1/1/2025,AA,19805,AA,N946AN,1401,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1800,1801,1,1,0,0,1800-1859,20,1821,2118,24,2144,2142,-2,0,0,-1,2100-2159,0,,0,284,281,237,1,1562,7,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.8998,-97.0403,Dallas/Fort Worth Intl
1/1/2025,AA,19805,AA,N950AN,475,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1232,1232,0,0,0,0,1200-1259,15,1247,1556,8,1618,1604,-14,0,0,-1,1600-1659,0,,0,226,212,189,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N959NN,1418,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0500,0453,-7,0,0,-1,0001-0559,30,0523,0841,13,0847,0854,7,7,0,0,0800-0859,0,,0,227,241,198,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N984NN,2538,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0800,0751,-9,0,0,-1,0800-0859,10,0801,1111,8,1148,1119,-29,0,0,-2,1100-1159,0,,0,228,208,190,1,1258,6,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,25.7959,-80.287,Miami Intl
1/1/2025,AA,19805,AA,N994NN,2527,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,0538,0533,-5,0,0,-1,0001-0559,19,0552,0852,12,0919,0904,-15,0,0,-1,0900-0959,0,,0,281,271,240,1,1562,7,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.8998,-97.0403,Dallas/Fort Worth Intl
1/1/2025,AA,19805,AA,N998NN,1438,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1216,1253,37,37,1,2,1200-1259,18,1311,1613,7,1555,1620,25,25,1,1,1500-1559,0,,0,279,267,242,1,1562,7,2,0,0,0,23,,,,0,,,,,,,,,,,,,42.3656,-71.0096,32.8998,-97.0403,Dallas/Fort Worth Intl
1/1/2025,AS,19930,AS,N247AK,364,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,0900,0851,-9,0,0,-1,0900-0959,16,0907,1138,10,1233,1148,-45,0,0,-2,1200-1259,0,,0,393,357,331,1,2496,10,,,,,,,,,0,,,,,,,,,,,,,42.3656,-71.0096,47.4502,-122.3088,Seattle-Tacoma Intl
